"entity_id","anzahl"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28793","14028"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28794","14029"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28795","14005"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28796","14011"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28798","13997"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28799","14037"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28800","14011"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28801","13997"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28802","13991"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28803","14036"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28804","14030"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28805","147791"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28806","147832"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28808","147826"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28809","147755"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28813","14033"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28814","14035"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28932","14000"
"urn:ngsi-ld:BikeHireDockingStation:Smile:29287","130189"
"urn:ngsi-ld:BikeHireDockingStation:Smile:30096","111780"
"urn:ngsi-ld:BikeHireDockingStation:Smile:30470","28796"
"urn:ngsi-ld:BikeHireDockingStation:Smile:30471","28795"
"urn:ngsi-ld:BikeHireDockingStation:Smile:Summe","92415"
